"filename", "language", "Python", "Markdown", "JSON", "JavaScript", "Django HTML", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"d:\project\frontend\src\pages\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"d:\project\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 179, 0, 0, 7, 21, 207
"d:\project\frontend\src\pages\Pricing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 0, 7, 137
"d:\project\frontend\src\routes\AuthRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\project\frontend\src\routes\ExportRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\project\frontend\src\routes\LibrianRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\project\frontend\src\routes\PublicRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\project\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"d:\project\frontend\vite.config.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"d:\project\lol.md", "Markdown", 0, 437, 0, 0, 0, 0, 0, 0, 0, 75, 512
"d:\project\main.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"Total", "-", 1092, 658, 3864, 46, 13, 6268, 12, 1, 331, 1069, 13354
