"filename", "language", "Docker", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "YAML", "Django HTML", "Ignore", "Python", "pip requirements", "comment", "blank", "total"
"d:\project\backend\tms\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 7, 31
"d:\project\backend\tms\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\tms\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 6, 19
"d:\project\backend\tms\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 9, 59
"d:\project\backend\tms\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"d:\project\backend\tms\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\project\backend\tms\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 3, 15, 88
"d:\project\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\project\frontend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\project\frontend\Dockerfile", "Docker", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 14
"d:\project\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"d:\project\frontend\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"d:\project\frontend\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\project\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3827, 0, 0, 0, 0, 0, 0, 1, 3828
"d:\project\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 38
"d:\project\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 238
"d:\project\frontend\src\api\api.jsx", "JavaScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 59
"d:\project\frontend\src\api\libriary.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 100
"d:\project\frontend\src\api\nurse.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 47
"d:\project\frontend\src\api\student.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
