"filename", "language", "Docker", "JavaScript", "JavaScript JSX", "YAML", "Ignore", "Markdown", "Python", "pip requirements", "comment", "blank", "total"
"d:\project\frontend\src\pages\NMS\NDash.jsx", "JavaScript JSX", 0, 0, 562, 0, 0, 0, 0, 0, 21, 53, 636
"d:\project\frontend\src\pages\NMS\NLayout.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\project\frontend\src\pages\NMS\TotalProduct.jsx", "JavaScript JSX", 0, 0, 586, 0, 0, 0, 0, 0, 22, 51, 659
"d:\project\frontend\src\pages\TMS\Attandance.jsx", "JavaScript JSX", 0, 0, 561, 0, 0, 0, 0, 0, 31, 63, 655
"d:\project\frontend\src\pages\TMS\AttandanceHistory.jsx", "JavaScript JSX", 0, 0, 415, 0, 0, 0, 0, 0, 22, 41, 478
"d:\project\frontend\src\pages\TMS\AttandanceStudent.jsx", "JavaScript JSX", 0, 0, 455, 0, 0, 0, 0, 0, 26, 46, 527
"d:\project\frontend\src\pages\TMS\TLayout.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\project\frontend\src\routes\ExportRoute.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\project\frontend\src\routes\NurseRoute.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\project\frontend\src\routes\PublicRoute.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\project\frontend\src\routes\TeacherRoute.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\project\frontend\tailwind.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\project\frontend\vite.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 1, 13
"d:\project\lol.md", "Markdown", 0, 0, 0, 0, 0, -437, 0, 0, 0, -75, -512
"d:\project\main.py", "Python", 0, 0, 0, 0, 0, 0, -49, 0, 0, -8, -57
"d:\project\test.md", "Markdown", 0, 0, 0, 0, 0, 168, 0, 0, 0, 49, 217
"Total", "-", 17, 14, 5625, 16, 20, -325, 296, 19, 261, 578, 6521
